,0,1,2
504,135969,645369045_46188656178_397399,Test
505,135969,901186644_45856271773_279366,Test
506,136237,483442322_20678461185_815900,Control
507,136986,507896847_34413437272_771472,Control
508,137555,526000109_97318359489_49804,Test
509,137781,776224780_47221623020_389277,Test
510,138093,783423709_88615762378_262005,Control
511,138395,938875561_80069631939_406467,Control
512,138686,461957928_74399660553_232281,Control
513,138741,992442247_3663660848_28165,Test
514,139979,703499730_27350158024_516374,Test
515,139979,842235266_39945267980_197658,Test
516,139996,311663153_46052411181_593264,Test
517,139996,763899918_96666024271_681380,Test
518,139996,991239965_73763732592_417753,Test
519,140020,191933595_53402994142_76754,Test
520,140488,419460650_51923579047_262759,Control
521,140489,800296899_84779210176_237632,Control
522,140683,186480977_97344994345_608278,Test
523,140683,969653881_3413677220_254189,Test
524,141417,794390518_18653405202_138088,Test
525,141591,361967547_68702556047_119955,Control
526,141602,583202576_85283329314_954916,Control
527,141602,614224742_48358510176_110197,Control
528,142351,88968986_70895958838_234542,Test
529,142579,725363449_27118073336_426344,Control
530,142695,359752126_80435690186_182822,Test
531,142725,793413343_57031260637_266265,Control
532,143267,987943497_58785314980_361036,Test
533,143688,183908220_63182847843_478416,Control
534,143688,220849695_45867197851_685228,Control
535,143691,98859897_31658441355_301901,Control
536,144169,553884687_72134188631_719449,Control
537,144169,767796969_7389021417_607893,Control
538,144244,760568464_37185986751_977004,Control
539,145106,743093584_97518989446_825000,Test
540,145810,803679393_99131315668_776631,Test
541,146072,353821716_22785223819_670502,Test
542,146072,505256583_40239948768_579545,Test
543,147316,200165390_68927854445_336520,Control
544,147852,377410207_92483990811_186629,Test
545,148347,544352088_86633164743_579277,Test
546,148347,976940862_63964273208_789689,Test
547,148391,226650039_70573581724_706740,Test
548,148391,880253115_29573443694_286682,Test
549,148445,13666149_47905605354_551937,Control
550,148445,534489710_30397052847_583098,Control
551,148445,879148982_75932395728_667365,Control
552,148445,880673491_81364056547_51103,Control
553,148448,684930829_13439268670_600131,Test
554,148850,37497811_54239865657_773528,Test
555,149192,182360639_53610974163_230534,Test
556,149593,496096179_90324051664_66217,Control
557,149635,215980848_84604363584_868100,Test
558,150095,833908596_19049113073_872631,Test
559,151250,944033298_86776583967_351725,Test
560,151250,953880740_61396344438_929498,Test
561,151444,375793883_45442366472_351084,Control
562,152661,212253070_82407792213_800251,Test
563,154147,771131514_39901552401_687493,Test
564,154150,342265606_13186976646_580624,Control
565,154458,2534344_56739174183_798814,Control
566,154458,651764786_25361489301_749576,Control
567,154782,235753840_49297933390_184437,Test
568,154809,44590071_61461739353_225457,Test
569,154809,741960138_27835122584_643666,Test
570,154809,813461637_22275280663_807764,Test
571,154809,947204181_83596149715_282162,Test
572,156105,51011241_90882774485_691274,Test
573,156105,59808574_72267588171_873414,Test
574,156105,67310153_86283496357_81152,Test
575,156105,823490227_98431947993_186052,Test
576,156105,92084244_67283603362_165886,Test
577,156105,960613189_73223306942_616297,Test
578,157209,906692724_47851206242_252466,Test
579,157852,2429908_87395395415_116724,Control
580,157871,796511123_19705674712_620568,Control
581,158047,101093819_66558027327_682204,Test
582,158047,399109398_12755883688_303193,Test
583,158047,478960389_13257519230_338607,Test
584,158047,978759989_20162934414_194885,Test
585,158141,666766744_49578483504_100755,Test
586,158201,980492123_34345128591_692804,Test
587,159268,101943895_86775091670_183092,Control
588,159558,719256532_82126260083_809662,Test
589,159617,937956462_46404776433_581582,Control
590,159687,665404943_89790119968_173141,Test
591,159728,208969148_13884989050_303899,Test
592,159875,167619580_78542308983_112067,Test
593,159875,322423630_39637074882_266959,Test
594,159875,669199659_42582688206_51974,Test
595,159875,858855386_18775098559_828051,Test
596,159908,900517839_32737254290_197296,Test
597,160466,415553695_6710669_685636,Control
598,160466,974566056_42367518033_687297,Control
599,160616,407264691_97724789843_36573,Control
600,160741,89903730_84996701889_496523,Test
601,161792,30812345_72203521662_506742,Control
602,162127,463396852_70920428718_712487,Test
603,162575,620932817_13177318825_123646,Control
604,162867,572722522_90632959378_655755,Test
605,163907,569290066_70035124187_213518,Test
606,163907,716290511_15541949834_239922,Test
607,165765,155285231_22111508321_796220,Test
608,165900,429097838_11378551322_830824,Test
609,166017,333600117_34087293204_557915,Test
610,166017,543697658_43497014833_436596,Test
611,166154,532191040_71019681769_475228,Test
612,166289,692835080_70356158272_214662,Control
613,166315,919888287_52607116108_384977,Test
614,166702,284502274_20720619891_47621,Control
615,167496,580501921_51787248484_696677,Control
616,168266,857951335_84917809846_846083,Test
617,168940,328548516_50150030529_331997,Control
618,168989,221171658_47652376943_81818,Test
619,168989,703624301_99350915308_647346,Test
620,169185,137155731_25240542418_709760,Test
621,169560,713206492_6727701240_250667,Test
622,169620,517261528_89509444923_815553,Test
623,170462,303446097_49599272867_116070,Test
624,170462,856373718_41533454263_649411,Test
625,170462,873019912_85289927472_209201,Test
626,170660,805743488_80848229671_613286,Control
627,170798,536113127_17730311305_533954,Test
628,170798,557667273_74032495402_569749,Test
629,170798,690476692_58252813971_188690,Test
630,170896,69749251_87302236662_957877,Control
631,171096,655788895_13884279690_34224,Test
